epoch,Train_active_mixtures,Val_mse,Val_rmse,Train_π_entropy,Train_rmse,Train_lr,Train_mdn_loss,Train_π_max,Train_mse,Train_grad_norm
1,2.9999945163726807,0.5968454480171204,0.7656671404838562,1.0825042724609375,0.7443993091583252,9.999999747378752e-05,1.1443747282028198,0.38608503341674805,0.5554473400115967,1.486470341682434
2,2.999979257583618,0.5856869220733643,0.7598394155502319,1.0652318000793457,0.7171046733856201,0.00019999999494757503,1.0820345878601074,0.4319067895412445,0.5146291255950928,0.5310329794883728
3,2.9419126510620117,0.6058877110481262,0.7706315517425537,0.9318351745605469,0.7083498239517212,0.0003000000142492354,1.04572331905365,0.5910882353782654,0.502141535282135,0.5444269776344299
4,2.236377000808716,0.6215404272079468,0.778724730014801,0.7021853923797607,0.7085076570510864,0.00039999998989515007,1.025978684425354,0.752974271774292,0.5025816559791565,0.8315656781196594
5,1.4103068113327026,0.6217421889305115,0.7795171141624451,0.5260385870933533,0.7046918869018555,0.0005000000237487257,0.9901596307754517,0.8340785503387451,0.4973702132701874,1.2861404418945312
6,1.5963530540466309,0.6176766753196716,0.7728585600852966,0.5391283631324768,0.6844780445098877,0.0006000000284984708,0.9241953492164612,0.8172388076782227,0.46927109360694885,2.209970474243164
7,1.6915377378463745,0.6129213571548462,0.7710747122764587,0.5321770906448364,0.6744663119316101,0.000699999975040555,0.8673505783081055,0.7934108972549438,0.45547017455101013,2.9272234439849854
8,1.567346215248108,0.6597646474838257,0.79397052526474,0.4520960748195648,0.6680467128753662,0.0007999999797903001,0.8126333355903625,0.8169527053833008,0.4472212493419647,3.2372705936431885
9,1.4702342748641968,0.6287553906440735,0.7758151888847351,0.38149869441986084,0.664080798625946,0.0008999999845400453,0.7536764144897461,0.8459864258766174,0.4418913722038269,4.525908946990967
10,1.4588650465011597,0.6492019891738892,0.7867441773414612,0.3626788854598999,0.6456024646759033,0.0010000000474974513,0.69053715467453,0.8562842011451721,0.41774460673332214,4.985564231872559
11,1.4180712699890137,0.6434701681137085,0.78628009557724,0.3210262954235077,0.6379703283309937,0.0009990133112296462,0.6434478163719177,0.8716492056846619,0.4080089330673218,5.816375255584717
12,1.3732987642288208,0.6366808414459229,0.779586136341095,0.2858661711215973,0.6232343316078186,0.0009960572933778167,0.5686725378036499,0.8848022222518921,0.3893287777900696,6.634712219238281
13,1.3503261804580688,0.6572462320327759,0.7905394434928894,0.26655682921409607,0.6085830926895142,0.0009911436354741454,0.4698725640773773,0.8918056488037109,0.3714565336704254,7.5310893058776855
14,1.3284621238708496,0.6420576572418213,0.7815500497817993,0.2506219744682312,0.5883675217628479,0.0009842915460467339,0.39210423827171326,0.898152768611908,0.34688615798950195,9.423336029052734
15,1.3145074844360352,0.6218586564064026,0.7658685445785522,0.2403014749288559,0.5569674968719482,0.0009755282662808895,0.2526912987232208,0.9027528166770935,0.3107496500015259,12.050823211669922
16,1.3013914823532104,0.62861567735672,0.7688620090484619,0.23014655709266663,0.5459812879562378,0.0009648882551118731,0.19029437005519867,0.9068324565887451,0.2987588047981262,14.453948974609375
17,1.2796218395233154,0.6089099645614624,0.7615306973457336,0.2152734249830246,0.5176316499710083,0.0009524135384708643,0.04273365065455437,0.9129388928413391,0.2684285640716553,15.939205169677734
18,1.2644833326339722,0.6095327138900757,0.7589304447174072,0.20349979400634766,0.4973004162311554,0.0009381533600389957,-0.0635138675570488,0.9174289703369141,0.2477540373802185,19.544763565063477
19,1.2455021142959595,0.6071829795837402,0.7578798532485962,0.1887538582086563,0.4860481023788452,0.0009221639484167099,-0.15980328619480133,0.9237901568412781,0.23701666295528412,20.92868423461914
20,1.234784722328186,0.5911759734153748,0.7452526688575745,0.18066523969173431,0.46708211302757263,0.0009045085171237588,-0.2786632776260376,0.9270544648170471,0.21888026595115662,25.758472442626953
21,1.22393000125885,0.6184927225112915,0.7606447339057922,0.1722068339586258,0.45179110765457153,0.000885256624314934,-0.36282870173454285,0.9305145740509033,0.20490659773349762,27.35425567626953
22,1.2117571830749512,0.6278677582740784,0.7701473236083984,0.16346320509910583,0.4446409046649933,0.0008644842891953886,-0.45001229643821716,0.9340591430664062,0.1987103521823883,27.761016845703125
23,1.2130874395370483,0.6142998337745667,0.7569617629051208,0.1629084050655365,0.43198540806770325,0.0008422735263593495,-0.48036298155784607,0.9337804913520813,0.1878124177455902,30.247133255004883
24,1.1979199647903442,0.6179482936859131,0.7609276175498962,0.15292468667030334,0.4244321584701538,0.0008187119965441525,-0.6063392162322998,0.9379825592041016,0.18129979074001312,32.58349609375
25,1.1952617168426514,0.6137536764144897,0.7608989477157593,0.1510467678308487,0.4165072441101074,0.0007938925991766155,-0.67369544506073,0.9389627575874329,0.1748449206352234,38.486576080322266
26,1.8834547996520996,0.3642559051513672,0.5688725113868713,0.6160995960235596,0.4766389727592468,0.0007679134141653776,0.23491066694259644,0.7490411400794983,0.23462644219398499,8.446778297424316
